Experiments with MMM=14 NNN=124 sizeof(Branch)=120 sizeof(Leaf)=504
vector<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     5.20e-04     2.00e-05     0.00e+00     1.00e-05
        2     1.30e-04     7.00e-05     5.00e-06     0.00e+00
        4     1.35e-04     1.00e-04     7.50e-06     2.50e-06
        8     1.05e-04     1.28e-04     1.13e-05     3.75e-06
       16     9.38e-05     1.39e-04     1.69e-05     2.50e-06
       32     1.14e-04     1.59e-04     1.59e-05     2.81e-06
       64     2.23e-04     1.86e-04     1.78e-05     2.81e-06
      128     3.02e-04     2.60e-04     1.85e-05     2.81e-06
      256     4.17e-04     3.65e-04     1.99e-05     2.81e-06
      512     6.28e-04     5.72e-04     2.28e-05     3.03e-06



alex_kupriianov_array<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     1.12e-03     4.40e-04     3.00e-05     8.00e-05
        2     7.00e-05     7.00e-05     2.50e-05     4.50e-05
        4     8.50e-05     7.00e-05     2.75e-05     2.25e-05
        8     8.75e-05     7.50e-05     2.63e-05     1.25e-05
       16     1.59e-04     1.46e-04     2.63e-05     1.00e-05
       32     1.96e-04     1.72e-04     2.56e-05     5.94e-06
       64     2.42e-04     1.93e-04     2.44e-05     3.44e-06
      128     3.09e-04     2.55e-04     7.94e-05     4.45e-06
      256     4.25e-04     4.01e-04     1.00e-04     4.14e-06
      512     4.49e-04     4.17e-04     1.17e-04     3.69e-06



vector<int>

 Averaged on 500 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     4.00e-03     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     1.25e-04     0.00e+00     0.00e+00     0.00e+00
       64     6.25e-05     6.25e-05     0.00e+00     3.13e-05
      128     9.38e-05     9.38e-05     0.00e+00     0.00e+00
      256     1.41e-04     1.41e-04     7.81e-06     7.81e-06
      512     2.42e-04     2.11e-04     3.91e-06     3.91e-06
     1024     3.48e-04     3.95e-04     7.81e-06     1.95e-06
     2048     8.34e-04     9.04e-04     1.46e-05     2.93e-06
     4096     2.80e-03     2.81e-03     1.81e-05     2.44e-06
     8192     6.68e-03     6.60e-03     1.73e-05     2.93e-06



deque<int>

 Averaged on 100 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     6.25e-04     0.00e+00     0.00e+00     0.00e+00
       64     0.00e+00     3.13e-04     0.00e+00     0.00e+00
      128     1.56e-04     1.56e-04     0.00e+00     0.00e+00
      256     1.56e-04     1.56e-04     0.00e+00     3.91e-05
      512     3.52e-04     3.52e-04     0.00e+00     0.00e+00
     1024     6.05e-04     6.05e-04     9.77e-06     0.00e+00
     2048     1.11e-03     1.16e-03     4.88e-06     0.00e+00
     4096     2.19e-03     2.23e-03     4.88e-06     2.44e-06
     8192     4.64e-03     4.53e-03     1.95e-05     2.44e-06



alex_kupriianov_array<int>

 Averaged on 500 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     5.00e-04
        8     0.00e+00     5.00e-04     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       64     6.25e-05     6.25e-05     3.13e-05     0.00e+00
      128     9.38e-05     7.81e-04     1.56e-05     0.00e+00
      256     1.09e-04     1.25e-04     7.81e-06     7.81e-06
      512     1.17e-04     1.41e-04     1.95e-05     3.91e-06
     1024     1.41e-04     2.19e-04     4.69e-05     3.91e-06
     2048     2.62e-04     3.32e-04     1.11e-04     3.91e-06
     4096     3.56e-04     4.04e-04     1.40e-04     4.39e-06
     8192     4.35e-04     4.78e-04     1.61e-04     5.37e-06
    16384     5.23e-04     5.53e-04     1.91e-04     5.37e-06
    32768     5.89e-04     6.04e-04     1.94e-04     5.19e-06
    65536     6.57e-04     6.37e-04     2.16e-04     5.40e-06



alex_kupriianov_array<int, fast_memory_operator>

 Averaged on 100 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       64     0.00e+00     3.13e-04     0.00e+00     0.00e+00
      128     1.56e-04     7.81e-04     0.00e+00     0.00e+00
      256     1.56e-04     7.81e-05     0.00e+00     0.00e+00
      512     1.17e-04     7.81e-05     1.95e-05     0.00e+00
     1024     1.37e-04     1.17e-04     1.95e-05     0.00e+00
     2048     1.46e-04     1.27e-04     4.39e-05     4.88e-06
     4096     1.56e-04     1.95e-04     5.86e-05     4.88e-06
     8192     2.32e-04     2.88e-04     9.16e-05     3.66e-06
    16384     3.54e-04     3.89e-04     1.53e-04     4.27e-06
    32768     4.51e-04     4.53e-04     1.78e-04     4.88e-06
    65536     5.21e-04     4.92e-04     1.95e-04     5.04e-06



alex_kupriianov_array<int>

 Averaged on 1 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       64     0.00e+00     0.00e+00     0.00e+00     0.00e+00
      128     0.00e+00     1.56e-02     0.00e+00     0.00e+00
      256     0.00e+00     7.81e-03     0.00e+00     0.00e+00
      512     0.00e+00     7.81e-03     0.00e+00     0.00e+00
     1024     0.00e+00     0.00e+00     0.00e+00     0.00e+00
     2048     0.00e+00     0.00e+00     0.00e+00     0.00e+00
     4096     0.00e+00     1.46e-03     2.44e-04     0.00e+00
     8192     0.00e+00     0.00e+00     1.22e-04     0.00e+00
    16384     1.22e-04     1.22e-04     6.10e-05     0.00e+00
    32768     1.22e-04     1.83e-04     6.10e-05     0.00e+00
    65536     1.53e-04     1.22e-04     6.10e-05     0.00e+00
   131072     1.37e-04     1.68e-04     7.63e-05     0.00e+00
   262144     1.45e-04     1.83e-04     8.39e-05     3.81e-06
   524288     1.72e-04     2.82e-04     9.16e-05     3.81e-06
  1048576     3.13e-04     3.34e-04     1.15e-04     4.77e-06
  2097152     3.62e-04     3.30e-04     1.77e-04     4.29e-06
  4194304     3.66e-04     3.18e-04     1.90e-04     4.53e-06
  8388608     3.71e-04     2.94e-04     1.94e-04     4.41e-06



Test by adding and removing groups of 5 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 0.00e+00
       32 0.00e+00 0.00e+00
       64 0.00e+00 3.12e-02
      128 0.00e+00 0.00e+00
      256 0.00e+00 8.59e-02
      512 0.00e+00 3.52e-02
     1024 0.00e+00 1.95e-03
     2048 0.00e+00 0.00e+00
     4096 0.00e+00 0.00e+00
     8192 2.44e-04 2.44e-04
    16384 1.22e-04 1.22e-04
    32768 1.22e-04 1.22e-04
    65536 1.22e-04 1.83e-04
   131072 1.53e-04 1.83e-04
   262144 1.60e-04 2.29e-04
   524288 2.06e-04 2.86e-04
  1048576 2.52e-04 3.32e-04
  2097152 2.74e-04 3.36e-04
  4194304 2.72e-04 3.36e-04
  8388608 2.77e-04 3.30e-04
 16777216 2.82e-04 3.18e-04



Test by adding and removing groups of 50 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 0.00e+00
       32 0.00e+00 0.00e+00
       64 0.00e+00 0.00e+00
      128 0.00e+00 2.66e-01
      256 0.00e+00 0.00e+00
      512 0.00e+00 0.00e+00
     1024 0.00e+00 5.86e-03
     2048 0.00e+00 9.77e-04
     4096 0.00e+00 4.88e-04
     8192 0.00e+00 0.00e+00
    16384 0.00e+00 1.22e-04
    32768 6.10e-05 6.10e-05
    65536 3.05e-05 3.05e-05
   131072 4.58e-05 3.05e-05
   262144 5.34e-05 4.58e-05
   524288 5.34e-05 5.34e-05
  1048576 6.10e-05 5.53e-05
  2097152 6.01e-05 5.44e-05
  4194304 5.96e-05 5.44e-05
  8388608 6.01e-05 5.22e-05
 16777216 6.10e-05 4.83e-05



Test by adding and removing groups of 500 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 0.00e+00
       32 0.00e+00 0.00e+00
       64 0.00e+00 0.00e+00
      128 0.00e+00 0.00e+00
      256 0.00e+00 1.41e-01
      512 0.00e+00 0.00e+00
     1024 0.00e+00 0.00e+00
     2048 0.00e+00 0.00e+00
     4096 0.00e+00 0.00e+00
     8192 0.00e+00 0.00e+00
    16384 0.00e+00 1.22e-04
    32768 0.00e+00 0.00e+00
    65536 3.05e-05 0.00e+00
   131072 1.53e-05 1.53e-05
   262144 1.53e-05 1.53e-05
   524288 1.91e-05 1.14e-05
  1048576 1.91e-05 1.34e-05
  2097152 2.00e-05 1.34e-05
  4194304 1.96e-05 1.24e-05
  8388608 1.88e-05 1.19e-05
 16777216 2.01e-05 1.05e-05



