Experiments with MMM=14 NNN=28 sizeof(Branch)120 sizeof(Leaf)120
vector<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     5.00e-04     0.00e+00     1.00e-05     0.00e+00
        2     1.30e-04     7.00e-05     5.00e-06     0.00e+00
        4     1.30e-04     9.50e-05     7.50e-06     2.50e-06
        8     1.05e-04     1.12e-04     1.00e-05     3.75e-06
       16     9.25e-05     1.29e-04     1.56e-05     3.13e-06
       32     1.11e-04     1.47e-04     1.59e-05     2.50e-06
       64     2.14e-04     1.80e-04     1.72e-05     2.81e-06
      128     2.96e-04     2.44e-04     1.81e-05     2.73e-06
      256     4.13e-04     3.55e-04     1.92e-05     2.77e-06
      512     6.04e-04     5.50e-04     2.09e-05     2.71e-06



alex_kupriianov_array<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     6.20e-04     3.40e-04     3.00e-05     7.00e-05
        2     5.00e-05     5.00e-05     2.50e-05     3.00e-05
        4     6.00e-05     5.50e-05     2.50e-05     1.75e-05
        8     6.50e-05     6.00e-05     2.38e-05     8.75e-06
       16     1.30e-04     1.21e-04     2.38e-05     8.75e-06
       32     1.58e-04     1.78e-04     5.34e-05     5.31e-06
       64     1.98e-04     2.48e-04     7.09e-05     5.47e-06
      128     2.60e-04     2.78e-04     8.52e-05     5.31e-06
      256     3.12e-04     3.34e-04     1.13e-04     5.27e-06
      512     4.54e-04     4.34e-04     2.21e-04     6.07e-06



vector<int>

 Averaged on 500 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     5.00e-04     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     1.25e-04     0.00e+00     0.00e+00     0.00e+00
       64     6.25e-05     6.25e-05     0.00e+00     0.00e+00
      128     9.38e-05     9.38e-05     0.00e+00     1.56e-05
      256     1.25e-04     1.25e-04     0.00e+00     0.00e+00
      512     1.88e-04     2.03e-04     3.91e-06     3.91e-06
     1024     3.16e-04     3.63e-04     5.86e-06     3.91e-06
     2048     8.11e-04     8.26e-04     1.37e-05     2.93e-06
     4096     2.64e-03     2.66e-03     1.71e-05     2.93e-06
     8192     6.47e-03     6.45e-03     1.73e-05     2.69e-06



deque<int>

 Averaged on 100 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     1.00e-02     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       64     0.00e+00     3.13e-04     0.00e+00     0.00e+00
      128     1.56e-04     0.00e+00     0.00e+00     0.00e+00
      256     1.56e-04     2.34e-04     3.91e-05     0.00e+00
      512     3.13e-04     3.13e-04     1.95e-05     0.00e+00
     1024     5.86e-04     5.86e-04     9.77e-06     0.00e+00
     2048     1.08e-03     1.08e-03     4.88e-06     0.00e+00
     4096     2.10e-03     2.09e-03     7.32e-06     2.44e-06
     8192     4.27e-03     4.32e-03     1.71e-05     3.66e-06



alex_kupriianov_array<int>

 Averaged on 500 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     1.25e-04     3.63e-03     0.00e+00     0.00e+00
       64     6.25e-05     1.25e-04     0.00e+00     0.00e+00
      128     9.38e-05     9.38e-05     1.56e-05     0.00e+00
      256     9.38e-05     1.72e-04     2.34e-05     0.00e+00
      512     1.17e-04     2.66e-04     4.69e-05     3.91e-06
     1024     1.41e-04     3.48e-04     8.40e-05     5.86e-06
     2048     2.32e-04     4.08e-04     1.51e-04     6.84e-06
     4096     3.43e-04     4.94e-04     2.00e-04     7.32e-06
     8192     4.30e-04     5.68e-04     2.23e-04     9.28e-06
    16384     5.05e-04     6.06e-04     2.42e-04     1.09e-05
    32768     5.72e-04     6.82e-04     2.71e-04     1.25e-05
    65536     6.51e-04     6.81e-04     3.09e-04     1.35e-05



alex_kupriianov_array<int, fast_memory_operator>

 Averaged on 100 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     3.13e-03     0.00e+00     0.00e+00
       64     0.00e+00     3.13e-04     1.56e-04     0.00e+00
      128     0.00e+00     0.00e+00     0.00e+00     7.81e-05
      256     7.81e-05     7.81e-05     3.91e-05     0.00e+00
      512     1.56e-04     1.17e-04     3.91e-05     0.00e+00
     1024     1.56e-04     1.56e-04     7.81e-05     0.00e+00
     2048     1.46e-04     2.05e-04     5.86e-05     4.88e-06
     4096     1.76e-04     2.98e-04     9.03e-05     7.32e-06
     8192     2.54e-04     3.71e-04     1.57e-04     8.54e-06
    16384     3.75e-04     4.37e-04     2.15e-04     1.04e-05
    32768     4.69e-04     4.99e-04     2.45e-04     1.22e-05
    65536     5.32e-04     5.21e-04     2.68e-04     1.28e-05



alex_kupriianov_array<int>

 Averaged on 1 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     6.25e-02     0.00e+00     0.00e+00
       64     0.00e+00     1.25e-01     0.00e+00     0.00e+00
      128     0.00e+00     0.00e+00     0.00e+00     0.00e+00
      256     0.00e+00     0.00e+00     0.00e+00     0.00e+00
      512     0.00e+00     0.00e+00     0.00e+00     0.00e+00
     1024     0.00e+00     1.95e-03     0.00e+00     0.00e+00
     2048     0.00e+00     0.00e+00     4.88e-04     0.00e+00
     4096     0.00e+00     4.88e-04     0.00e+00     0.00e+00
     8192     2.44e-04     0.00e+00     0.00e+00     0.00e+00
    16384     1.22e-04     1.22e-04     6.10e-05     6.10e-05
    32768     1.22e-04     1.83e-04     6.10e-05     3.05e-05
    65536     1.22e-04     1.53e-04     9.16e-05     0.00e+00
   131072     1.53e-04     1.98e-04     9.16e-05     7.63e-06
   262144     1.37e-04     2.59e-04     9.92e-05     7.63e-06
   524288     1.68e-04     3.40e-04     1.16e-04     7.63e-06
  1048576     2.48e-04     3.76e-04     1.85e-04     8.58e-06
  2097152     2.83e-04     3.74e-04     2.29e-04     8.58e-06
  4194304     2.88e-04     3.37e-04     2.47e-04     9.30e-06
  8388608     2.94e-04     2.95e-04     2.42e-04     9.18e-06



Test by adding and removing groups of 5 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 3.75e-01
       32 0.00e+00 1.06e+00
       64 0.00e+00 0.00e+00
      128 0.00e+00 7.81e-02
      256 7.81e-03 0.00e+00
      512 0.00e+00 3.91e-03
     1024 0.00e+00 0.00e+00
     2048 0.00e+00 0.00e+00
     4096 0.00e+00 4.88e-04
     8192 2.44e-04 2.44e-04
    16384 1.22e-04 1.22e-04
    32768 2.44e-04 2.44e-04
    65536 2.14e-04 2.75e-04
   131072 1.98e-04 3.20e-04
   262144 2.37e-04 3.74e-04
   524288 2.71e-04 4.20e-04
  1048576 3.24e-04 4.43e-04
  2097152 3.47e-04 4.34e-04
  4194304 3.51e-04 4.43e-04
  8388608 3.55e-04 4.18e-04
 16777216 3.65e-04 3.82e-04



Test by adding and removing groups of 50 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 0.00e+00
       32 0.00e+00 1.31e+00
       64 0.00e+00 0.00e+00
      128 0.00e+00 0.00e+00
      256 0.00e+00 0.00e+00
      512 0.00e+00 0.00e+00
     1024 0.00e+00 1.95e-03
     2048 0.00e+00 0.00e+00
     4096 0.00e+00 0.00e+00
     8192 0.00e+00 0.00e+00
    16384 1.22e-04 1.22e-04
    32768 6.10e-05 6.10e-05
    65536 6.10e-05 6.10e-05
   131072 4.58e-05 1.07e-04
   262144 6.87e-05 1.07e-04
   524288 6.87e-05 1.18e-04
  1048576 6.87e-05 1.11e-04
  2097152 7.25e-05 1.07e-04
  4194304 7.34e-05 9.87e-05
  8388608 7.39e-05 8.92e-05
 16777216 7.57e-05 7.27e-05



Test by adding and removing groups of 500 elems. Time is given per one element.
Array_size   Insert   Delete
        2 0.00e+00 0.00e+00
        4 0.00e+00 0.00e+00
        8 0.00e+00 0.00e+00
       16 0.00e+00 0.00e+00
       32 0.00e+00 0.00e+00
       64 0.00e+00 0.00e+00
      128 0.00e+00 0.00e+00
      256 0.00e+00 1.56e-01
      512 0.00e+00 0.00e+00
     1024 0.00e+00 0.00e+00
     2048 0.00e+00 0.00e+00
     4096 0.00e+00 0.00e+00
     8192 0.00e+00 0.00e+00
    16384 1.22e-04 1.22e-04
    32768 0.00e+00 0.00e+00
    65536 3.05e-05 3.05e-05
   131072 3.05e-05 3.05e-05
   262144 3.05e-05 3.05e-05
   524288 3.43e-05 3.05e-05
  1048576 3.24e-05 3.05e-05
  2097152 3.24e-05 2.96e-05
  4194304 3.48e-05 2.77e-05
  8388608 3.31e-05 2.69e-05
 16777216 3.46e-05 2.55e-05



