Experiments with MMM=14 NNN=28 sizeof(Branch)=120 sizeof(Leaf)=120
alex_kupriianov_array<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     3.80e-04     3.60e-04     4.00e-05
        2     7.00e-05     6.00e-05     3.00e-05
        4     6.00e-05     5.50e-05     2.50e-05
        8     1.05e-04     9.25e-05     2.50e-05
       16     1.34e-04     1.11e-04     2.50e-05
       32     1.46e-04     1.70e-04     5.91e-05
       64     2.13e-04     2.52e-04     7.50e-05
      128     2.73e-04     2.84e-04     8.73e-05
      256     3.10e-04     3.38e-04     1.16e-04
      512     4.54e-04     4.31e-04     2.30e-04



__gnu_cxx::rope<int>

 Averaged on 100000 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     6.20e-04     8.60e-04     3.00e-05
        2     3.70e-04     6.20e-04     3.00e-05
        4     6.65e-04     8.30e-04     2.75e-05
        8     8.45e-04     9.70e-04     3.13e-05
       16     9.72e-04     1.04e-03     4.56e-05
       32     1.39e-03     1.95e-03     1.31e-04
       64     2.16e-03     3.38e-03     2.68e-04
      128     3.05e-03     4.56e-03     5.03e-04
      256     4.23e-03     4.30e-03     7.94e-04
      512     5.49e-03     4.44e-03     1.18e-03



alex_kupriianov_array<int>

 Averaged on 1 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00
       64     0.00e+00     0.00e+00     0.00e+00
      128     0.00e+00     0.00e+00     0.00e+00
      256     0.00e+00     0.00e+00     0.00e+00
      512     0.00e+00     0.00e+00     0.00e+00
     1024     1.95e-03     0.00e+00     0.00e+00
     2048     0.00e+00     0.00e+00     0.00e+00
     4096     0.00e+00     0.00e+00     0.00e+00
     8192     2.44e-04     2.44e-04     0.00e+00
    16384     1.22e-04     1.22e-04     1.22e-04
    32768     1.22e-04     1.22e-04     1.22e-04
    65536     1.83e-04     1.83e-04     9.16e-05
   131072     2.29e-04     2.44e-04     1.30e-04
   262144     2.90e-04     3.51e-04     1.53e-04
   524288     5.42e-04     4.69e-04     2.54e-04
  1048576     5.00e-04     5.02e-04     3.52e-04
  2097152     4.95e-04     5.01e-04     3.45e-04
  4194304     4.89e-04     5.22e-04     3.57e-04
  8388608     5.04e-04     4.94e-04     3.60e-04



__gnu_cxx::rope<int>

 Averaged on 1 measurements.
Array size      Insert      Delete     Read_rand     Read_iter
        1     0.00e+00     0.00e+00     0.00e+00
        2     0.00e+00     0.00e+00     0.00e+00
        4     0.00e+00     0.00e+00     0.00e+00
        8     0.00e+00     0.00e+00     0.00e+00
       16     0.00e+00     0.00e+00     0.00e+00
       32     0.00e+00     0.00e+00     0.00e+00
       64     3.12e-02     0.00e+00     0.00e+00
      128     0.00e+00     1.56e-02     0.00e+00
      256     0.00e+00     0.00e+00     0.00e+00
      512     7.81e-03     3.91e-03     0.00e+00
     1024     5.86e-03     3.91e-03     0.00e+00
     2048     1.17e-02     5.86e-03     0.00e+00
     4096     1.17e-02     8.79e-03     2.44e-04
     8192     1.17e-02     9.52e-03     2.44e-04
    16384     1.00e-02     8.67e-03     2.44e-04
    32768     9.70e-03     8.54e-03     2.44e-04
    65536     1.18e-02     8.88e-03     3.97e-04
   131072     9.70e-03     8.96e-03     8.70e-04
   262144     9.87e-03     8.67e-03     1.14e-03
   524288     1.01e-02     8.80e-03     1.11e-03
  1048576     1.03e-02     9.08e-03     1.11e-03
  2097152     1.05e-02     9.19e-03     1.17e-03
  4194304     1.07e-02     9.51e-03     1.15e-03
  8388608     1.20e-02     1.07e-02     1.13e-03



